country.name,regional.indicator,ladder.score,playlist_id,playlist_name,playlist_owner_name,playlist_owner_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.id,time_signature,added_at,track.artists,track.duration_ms,track.explicit,track.name,track.popularity
Finland,Western Europe,7.842100143432617,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,Spotify,spotify,0.336,0.627,7,-7.463,1,0.0384,0.164,0,0.0708,0.35,150.273,0bYg9bo50gSsH3LtXe2SQn,4,2021-12-12T09:25:16Z,Mariah Carey,241106,FALSE,All I Want for Christmas Is You,96
Finland,Western Europe,7.842100143432617,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,Spotify,spotify,0.716,0.512,1,-6.257,1,0.0331,0.483,0,0.0928,0.326,104.957,7uoFMmxln0GPXQ0AcCBXRq,3,2021-12-12T09:25:16Z,Sia,165906,FALSE,Snowman,89
Finland,Western Europe,7.842100143432617,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,Spotify,spotify,0.735,0.478,2,-12.472,1,0.0293,0.189,2.48e-6,0.355,0.947,107.682,2FRnf9qhLbvw8fu4IBXx78,4,2021-12-12T09:25:16Z,Wham!,262960,FALSE,Last Christmas,92
Finland,Western Europe,7.842100143432617,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,Spotify,spotify,0.927,0.5,2,-10.523,1,0.158,0.23,6.7e-4,0.0598,0.779,111.062,3EfMGeYXw69Saa14torWpK,4,2021-12-12T09:25:16Z,"c(""Cledos"", ""ibe"", ""Averagekidluke"", ""A36"")",190270,TRUE,Samma gamla vanliga - Remix,67
Finland,Western Europe,7.842100143432617,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,Spotify,spotify,0.695,0.54,4,-5.692,1,0.0493,0.299,0,0.367,0.415,121.932,4fouWK6XVHhzl78KzQ1UjL,4,2021-12-12T09:25:16Z,GAYLE,168601,TRUE,abcdefu,96
Finland,Western Europe,7.842100143432617,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,Spotify,spotify,0.339,0.214,4,-11.714,1,0.0375,0.908,7.47e-6,0.341,0.363,94.775,0lLdorYw7lVrJydTINhWdI,3,2021-12-12T09:25:16Z,Michael Bublé,206639,FALSE,It's Beginning to Look a Lot like Christmas,78
Finland,Western Europe,7.842100143432617,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,Spotify,spotify,0.467,0.538,8,-8.784,1,0.0318,0.0479,7.02e-5,0.138,0.227,188.012,3RCxl6HWK4ADOzMbY8FZCw,3,2021-12-12T09:25:16Z,"c(""Haloo Helsinki!"", ""Cantores Minores"")",278786,FALSE,Joulun kanssas jaan (feat. Cantores Minores),59
Finland,Western Europe,7.842100143432617,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,Spotify,spotify,0.623,0.913,7,-4.388,1,0.0339,0.00373,0,0.0748,0.705,95.05,4N84bVnNycTXiuoKZFEXrD,4,2021-12-12T09:25:16Z,"c(""Portion Boys"", ""Matti ja Teppo"")",211176,FALSE,Vauhti kiihtyy (feat. Matti ja Teppo),64
Finland,Western Europe,7.842100143432617,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,Spotify,spotify,0.632,0.829,11,-6.889,0,0.0372,0.0853,1.51e-6,0.237,0.599,104.084,6YFcvJlcgQceRfJrVpmJa0,4,2021-12-12T09:25:16Z,Olli Halonen,175113,FALSE,Pohjola,59
Finland,Western Europe,7.842100143432617,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,Spotify,spotify,0.488,0.511,7,-6.011,1,0.0232,0.688,0,0.149,0.329,91.916,1K0ZirzQ9KtHAKOLB5efXs,3,2021-12-12T09:25:16Z,Suvi Teräsniska,277493,FALSE,Tulkoon joulu,57
Finland,Western Europe,7.842100143432617,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,Spotify,spotify,0.525,0.621,7,-7.364,1,0.116,0.0489,0,0.294,0.591,191.9,0lizgQ7Qw35od7CYaoMBZb,4,2021-12-12T09:25:16Z,Ariana Grande,204093,FALSE,Santa Tell Me,92
Finland,Western Europe,7.842100143432617,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,Spotify,spotify,0.815,0.849,4,-4.704,0,0.114,0.0229,1.76e-4,0.026,0.685,106.035,5rW7qTn83sCKtqBoneJs63,4,2021-12-12T09:25:16Z,"c(""bbno$"", ""Rich Brian"")",133706,TRUE,edamame (feat. Rich Brian),76
Finland,Western Europe,7.842100143432617,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,Spotify,spotify,0.788,0.859,2,-2.724,1,0.0856,0.281,0,0.0424,0.822,141.02,50nfwKoDiSYg8zOCREWAm5,4,2021-12-12T09:25:16Z,Ed Sheeran,207853,FALSE,Shivers,95
Finland,Western Europe,7.842100143432617,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,Spotify,spotify,0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,0.478,169.928,5PjdY0CKGZdEuoNab3yDmX,4,2021-12-12T09:25:16Z,"c(""The Kid LAROI"", ""Justin Bieber"")",141805,TRUE,STAY (with Justin Bieber),93
Finland,Western Europe,7.842100143432617,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,Spotify,spotify,0.589,0.472,8,-8.749,1,0.0502,0.614,0,0.505,0.898,67.196,2EjXfH91m7f8HiJN1yQg97,4,2021-12-12T09:25:16Z,Brenda Lee,126266,FALSE,Rockin' Around The Christmas Tree,92
Finland,Western Europe,7.842100143432617,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,Spotify,spotify,0.604,0.366,5,-7.519,1,0.0282,0.578,0,0.133,0.13,141.981,46IZ0fSY2mpAiktS3KOqds,4,2021-12-12T09:25:16Z,Adele,224694,FALSE,Easy On Me,92
Finland,Western Europe,7.842100143432617,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,Spotify,spotify,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-6,0.0921,0.531,80.87,02MWAaffLxlfxAUY7c5dvx,4,2021-12-12T09:25:16Z,Glass Animals,238805,FALSE,Heat Waves,93
Finland,Western Europe,7.842100143432617,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,Spotify,spotify,0.594,0.935,0,-2.018,1,0.0357,0.243,2.36e-6,0.102,0.602,113.99,0aoUM0zcu0kCX7Cv7O939I,4,2021-12-12T09:25:16Z,"c(""Ed Sheeran"", ""Elton John"")",208546,FALSE,Merry Christmas,69
Finland,Western Europe,7.842100143432617,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,Spotify,spotify,0.451,0.24,1,-14.014,1,0.0351,0.912,2.45e-6,0.175,0.701,134.009,2uFaJJtFpPDc5Pa95XzTvg,4,2021-12-12T09:25:16Z,Dean Martin,117146,FALSE,Let It Snow! Let It Snow! Let It Snow!,88
Finland,Western Europe,7.842100143432617,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,Spotify,spotify,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-5,0.366,0.537,126.011,3rmo8F54jFF8OgYsqTxm5d,4,2021-12-12T09:25:16Z,Ed Sheeran,230746,FALSE,Bad Habits,94
Finland,Western Europe,7.842100143432617,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,Spotify,spotify,0.55,0.275,0,-12.585,1,0.0373,0.73,0,0.112,0.302,146.074,3QqsEc7mv1Kq9aWNpQgHsU,3,2021-12-12T09:25:16Z,Katri Helena,206959,FALSE,Joulumaa,55
Finland,Western Europe,7.842100143432617,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,Spotify,spotify,0.175,0.334,5,-10.127,0,0.0326,0.795,0.161,0.108,0.312,169.511,2Kouu3rnDZ5ZVqWtPEAsGo,3,2021-12-12T09:25:16Z,Vesa-Matti Loiri,198200,FALSE,Sydämeeni joulun teen,53
Finland,Western Europe,7.842100143432617,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,Spotify,spotify,0.741,0.691,10,-7.395,0,0.0672,0.0221,0,0.0476,0.892,150.087,5Z9KJZvQzH6PFmb8SNkxuk,4,2021-12-12T09:25:16Z,"c(""Lil Nas X"", ""Jack Harlow"")",212352,TRUE,INDUSTRY BABY (feat. Jack Harlow),91
Finland,Western Europe,7.842100143432617,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,Spotify,spotify,0.537,0.583,10,-7.012,1,0.0264,0.3,0,0.14,0.282,144.045,5T4wJfpwn3sEJdA4OovEfR,4,2021-12-12T09:25:16Z,Antti Tuisku,239466,FALSE,Lämmin lumi peittää maan,54
Finland,Western Europe,7.842100143432617,37i9dQZEVXbMxcczTSoGwZ,Top 50 - Finland,Spotify,spotify,0.652,0.862,11,-7.957,0,0.0451,0.00632,0.0564,0.375,0.132,119.974,7d6Iy0XKcNFPxZfTWPFZbe,4,2021-12-12T09:25:16Z,Vesala,202744,FALSE,Pulkka,42
